name,description,address,county,country,email,phone,website,other_categories,contact_name,contact_title,contact_email,contact_phone,year_incorporated,tax_status,accreditation,licenses,transportation_details,tax_form_990_link,annual_report_link,united_way_211_link
Hispanic Leaders Group of Greater St. Louis,"Hispanic Leaders Group (HLG) promotes Hispanic views on issues such as education, culture, language, immigration, policy analysis, health, economic development, organized labor, employment, political awareness, and civil rights.","PO Box 78386, Saint Louis, MO 63178","",,"","",http://www.stlhlg.org,,"","","","",1983,"","","","","","",""
Holocaust Museum & Learning Center,"The Holocaust Museum and Learning Center is dedicated to preserving the legacy of the Holocaust, educating about its causes and illustrating how what happened during this tragic period relates to our lives today.
While learning Holocaust history is the key to understanding its roots, we have another duty: to empower visitors to make the world a kinder, safer, more tolerant place by rejecting all forms of hate, intolerance, racism and bigotry.","12 Millstone Campus Dr, Saint Louis, MO 63146","",,"",314.442.3711,https://hmlc.org/,,"","","","",,"","","","","","",""
Il Pensiero Newspaper,Il Pensiero is an Italian newspaper that shares information throughout the Italian community in St. Louis.,"10001 Stonell Dr, Saint Louis, MO 63123","",,"",314.638.3446,http://www.ilpensierostl.com,,"","","","",,"","","","","","",""
Immigrant & Refugee Women's Program (IRWP),The Immigrant and Refugee Women's Program delivers in-home ESL and living skills instruction to new American women to increase their independence and reduce their isolation.,"3672B Arsenal Street, Saint Louis, MO 63116","",,"",314.771.1104,http://www.irwp.net,,Pat Joshu,Executive Director,director@irwp.net,"",1995,"","","","","","",""
Interfaith Partnership of Greater St. Louis,"Promotes peace, respect, and understanding among people of all faiths. Achieve their mission through dialogue, education, social advocacy and service programs that are uniquely interfaith.","483 E Lockwood Ave Suite 107, Saint Louis, MO 63119","",,"",314.918.2541,http://www.interfaithstl.org,,"","","","",1986,"","","","","","",""
International Institute Community Development Corporation,"The IICDC advances the self-sufficiency of New Americans in the St. Louis metropolitan area by implementing microenterprise loans from $500 and up to $45,000 and by connecting entrepreneurs to resources. IICDC provides Technical Assistance to immigrants and refugees interested in starting or strengthening their businesses. IICDC offers Individual Development Accounts and Credit Builder Loans to establish credit and save for the future. ","3401 Arsenal St, Saint Louis, MO 63118","",,info@iistl.org,314.773.9090,http://www.iicdcstl.org/,,Diego Abente,President,abented@iistl.org,314.773.9090 Ext. 104,2006,"","","","","","",""
International Institute of St. Louis,"We are our region's Welcoming Center for New Americans. For nearly 100 years, we have provided essential community integration services to foreign-born populations in St. Louis and help connect newcomers with our native born population. Annually, we teach English, resettle refugees, help find jobs and start businesses, and produce the annual Festival of Nations. We also build a stronger, more global St. Louis by promoting the value of immigrants and multicultural diversity.","3401 Arsenal St, Saint Louis, MO 63118","",,info@iistl.org,314.773.9090,http://www.iistl.org,,"","","","",1919,"","","","","","",""
International Language Center (ILC),The International Language Center provides translation and interpretation services to both agencies and individuals for documents and appointments. ,"1416 S Big Bend Blvd, Saint Louis, MO 63117","",,"",800.445.4440,http://ilcworldwide.com/,,"","","","",1983,"","","","","","",""
"International Trade Administration, U.S. Department of Commerce",Offers expert assessment of export potential and one-on-one counseling to design effective export strategies for US businesses.,"4300 Goodfellow Blvd. Building 110, Suite 1100-A , Saint Louis, MO 63120","",,"",314.260.3780,http://export.gov/missouri/st.louis,,Cory Simek,"","","",,"","","","","","",""
Islamic Foundation of Greater St. Louis,"We serve the local community with a variety of services including regular congregational prayers, educational programs, workshops, burial preparations, as well as social events in accordance to the teachings of Islam. Our doors are open to the public throughout the year and we receive regular group visits and tours from schools, colleges, universities and institutions seeking to learn more about Islam or conduct research for projects. ","517 Weidman Rd, Ballwin, MO 63011","",,"",636.934.7878,http://www.islamicfoundationstl.org,,"","","","",1974,"","","","","","",""
ITEN,"The IT Entrepreneur Network provides mentoring, networking, acceleration and investment opportunities for startup businesses entering into technology.","911 Washington Ave Suite 722, Saint Louis, MO 63101","",,"",314.614.9094,https://www.itenstl.org/,,"","","","",2008,"","","","","","",""
Japanese American Citizens League St. Louis Chapter,"The St. Louis Japanese American Citizens League (JACL) continues to monitor important issues that affect our daily lives; on both a local and national level.  The chapter is active in areas dealing with: anti-Asian violence, the promoting of accurate accounts of the Japanese American experience in our nation’s textbooks; and various other civil rights issues.","","",,"","",http://stlouisjacl.org/,,"","","","",1946,"","","","","","",""
Jewish Community Relations Council (JCRC) of St. Louis,"The Jewish Community Relations Council (JCRC) is an umbrella organization, which, through its members, works to promote religious, racial and inter-group understanding and to combat discrimination against Jews and other minorities.","12 Millstone Campus Dr, Saint Louis, MO 63146","",,"",314.442.3871,http://www.jcrcstl.org,,Maharat Rori Picker Neiss,Executive Director,rpickerneiss@jcrcstl.org,314.442.3770,1938,"","","","","","",""
Jewish Family & Children's Service,"Both crisis and transitional life situations are addressed through a wide array of quality services delivered without regard to race, religion, ethnicity, gender, sexual orientation or the ability to pay.","10950 Schuetz Rd, Saint Louis, MO 63146","",,"",314.993.1000,http://www.jfcs-stl.org,,Rochelle Novak,Caseworker,"",314.812.9389,1871,"","","","","","",""
Jewish in St. Louis,"Launched in 2005, the site includes participation from more than 150 Jewish agencies, congregations, organizations and groups.","","",,"","",http://www.jewishinstlouis.org,,"","","","",2005,"","","","","","",""
Justine PETERSEN,"Justine PETERSEN gives people opportunities to create new futures for themselves and their families by helping them become and stay homeowners, start and run successful businesses, access education, begin and manage personal savings programs.","1023 North Grand Blvd, Saint Louis, MO 63106","",,"",314.533.2411,http://www.justinepetersen.org/,,"","","","",1996,"","","","","","",""
Kingdom House,"Kingdom House provides health and wellness classes and services, including fitness classes, nutrition and cooking workshops, and coaching sessions.  On the education side, Kingdom House also provides ESL classes.","1321 S 11th St, Saint Louis, MO 63104","",,"",314.421.0400,http://www.kingdomhouse.org/,,"","","","",1902,"","","","","","",""
La Ke Buena Radio,La Ke Buena is a radio station that plays Hispanic cultural music and programming.,"","",,"",314.942.3808,http://kebuena1510stl.com/,,"","","","",,"","","","","","",""
Language Access Metro Project (LAMP),"Language Access Multicultural People (LAMP) decreases linguistic and cultural barriers for immigrants, refugees, and the deaf and hard of hearing seeking health care and support services in the St. Louis Metropolitan and surrounding areas.","8050 Watson Rd, Saint Louis, MO 63118","",,"",314.842.0062,http://www.lampinterpreters.org/,,"","",bnunez@ccstl.org,"",1996,"","","","","","",""
Latinos En Axion,We are Latinos working with other Latinos to make humane and just immigration reform a public policy priority.  We are a grassroots organization designed to be used as a resource within the parishes and the St. Louis community and in support of justice for immigrants.,"2929 South Jefferson Ave, Saint Louis, MO 63118","",,"",314.833.4688;  314.874.6833,http://www.latinosenaxionstl.org/index.php/en/,,"","","","",2013,"","","","","","",""
Legal Services of Eastern Missouri,"N-400, Naturalization applications, N-600, certificates of naturalization;  cases involving domestic violence, human trafficking, or victims of other violent crime, including those victims who may be in Removal/Deportation proceedings: I-360 ""VAWA Self Petitions,"" U-Visas, T-Visas, I-751 Waivers; I-130, Family Visa Petition Cases; I-90, Applications to replace Legal Permanent Resident ""green cards,"" ; I-765, Applications for Employment Authorization Cards.","4232 Forest Park Ave, Saint Louis, MO 63108","",,"",314.534.4200,http://www.lsem.org/lsem-services/immigration-law-program/,,"","","","",1935,"","","","","","",""
MERS/Goodwill,"MERS/Goodwill offers a variety of skills training programs. These training classes provide individualized instruction, equip consumers with entry level skills, and offer certificates of completion. While in training, students may utilize support groups and case management services available through the rehab programs. Training areas include administrative skills, culinary arts, PC technician, and building maintenance.","1727 Locust St, Saint Louis, MO 63103","",,"",314.241.3464,https://mersgoodwill.org/skills-training/,,"","","","",2001,"","","","","","",""
Metro Transit St. Louis,"The St. Louis Metro Area regional transit system includes bus, rail, and paratransit services.","211 N Broadway Suite 700, Saint Louis, MO 63102","",,"","",https://www.metrostlouis.org/,,"","","","",,"","","","","","",""
Metropolitan St. Louis Equal Housing and Opportunity Council (EHOC),"The Metropolitan St. Louis Equal Housing and Opportunity Council seeks to ensure equal access to housing and places of public accommodation for all people through education, counseling, investigation, and enforcement, including versions of their website in Vietnamese, Spanish, and Bosnian.","1027 S Vandeventer ,6th FL, Saint Louis, MO 63118","",,"",314-534-5800; 1-800-965-EHOC,http://ehocstl.org/,,"","",gburleigh@ehoc-stl.org,"",1992,"","","","","","",""
Midwest Viet Bao,"Midwest Viet Bao is a Vietnamese monthly magazine that is available both digitally and physically.  Midwest Viet Bao serves thousands of Vietnamese people in the Midwest region by bringing them fun, entertainment, business, and education through the free distribution of its high quality monthly magazines. ","8412 Olive Blvd, Saint Louis, MO 63132","",,"",314.997.8822,http://www.igoviet.com,,"","","","",2005,"","","","","","",""
MIM TV - IPTV Station,MIM TV is a Bosnian Internet Protocol television site that provides St. Louis news to the Bosnian community.,"","",,"","",http://mimtv.us,,"","","","",,"","","","","","",""
Missouri Asian American Bar Association,"The Missouri Asian-American Bar Association connects Asian-American attorneys, judges, professors, and students, to reach out and support the Asian American legal community and community at large.","","",,"","",http://maaba-law.org/,,"","","","",2001,"","","","","","",""
Missouri Immigrant and Refugee Advocates (MIRA),"A coalition of organizations that advocates for the basic rights of all immigrants. Recognizing that our federal system of immigration is broken, MIRA works statewide to build support for comprehensive immigration reform.","2725 Clifton Ave, Saint Louis, MO 63139","",,info@mira-mo.org,314.669.1288,http://www.mira-mo.org,,"","","","",2006,"","","","","","",""
Missouri Partnership,"Missouri Partnership supports international businesses, as well as businesses looking to conduct international trade.","120 S Central Ave Suite 1535, Saint Louis, MO 63105","",,"",314.725.0949;  877.725.0949,http://www.missouripartnership.com/,,"","","","",2007,"","","","","","",""
Multicultural Counseling and Research Center (MCRC),"The Multicultural Counseling and Research Center (MCRC) is dedicated to improving the health and well-being of individuals through education, counseling, research, and advocacy. They serve people of all religious backgrounds, races, and ethnicities. They also offer ?volunteer opportunities.?","225 South Meramec Ave Suite 203, Clayton, MO 63105","",,"",314.445.5678,http://www.mcrcstl.org,,"","","","",,"","","","","","",""
Nahed Chapman New American Academy,"Provides students with accelerated English training, an introduction to the US culture and school system, and exposure to educational expectations and opportunities. Mainly but not exclusively refugee students. (Grades K-10)","1530 S Grand, Saint Louis, MO 63104","",,"",314.664.1066,http://www.slps.org/Page/11628,,"","","","",2009,"","","","","","",""
Nurses for Newborns of Missouri,"We currently serve families in eastern Missouri and mid-Tennessee. Families may receive services for up to 2 years and are not charged. Our work with families is strength-based and is designed to support and encourage expecting and new parents. In addition to medical care, we assist families whenever possible with donated materials needed for safe care, such as diapers, formula, baby food, clothing, bedding, and Pack ‘n Plays.","7259 Lansdowne Suite 100, Saint Louis, MO 63119","",,"",314.544.3433;  800.452.4784,http://www.nursesfornewborns.org/home/missouri-2/,,"","","","",1991,"","","","","","",""
Refugee Health and Interpreter Services of Barnes-Jewish Hospital,"Barnes-Jewish Hospital interpreters are available 24 hours a day for patients and family members who need help with spoken and sign language communication. These services are provided free of charge. The team of interpreters can assist in 36 languages, including ASL. Through video or phone conferencing, we offer assistance in 60  languages. Cross-cultural consultation for patients and staff and reaches out to the deaf, refugee and immigrant communities providing health screenings and education.","1 Barnes-Jewish Hospital Plaza Dr, Saint Louis, MO 63110","",,"",314.747.3000,http://www.barnesjewish.org/Patients-Visitors/Interpreter-Services,,"","","","",1914,"","","","","","",""
